index,walk_10min,walk_15min,car_10min,car_15min,car_20min,car_30min,transit_10min,transit_15min,transit_20min,transit_30min
425,,,3.3,3.3,3.3,3.3,,,16.7,16.7
426,,,3.0,3.0,3.0,3.0,,,15.7,15.7
427,,13.7,2.0,2.0,2.0,2.0,,13.7,13.7,13.7
428,,14.1,2.1,2.1,2.1,2.1,,14.1,14.1,14.1
429,,11.5,2.2,2.2,2.2,2.2,,11.5,11.5,11.5
431,,11.4,1.8,1.8,1.8,1.8,,11.4,11.4,11.4
432,,,3.4,3.4,3.4,3.4,,,16.3,16.3
433,,,2.8,2.8,2.8,2.8,,,16.1,16.1
434,,13.2,2.3,2.3,2.3,2.3,,13.2,13.2,13.2
435,,12.1,2.5,2.5,2.5,2.5,,12.1,12.1,12.1
436,8.0,8.0,1.3,1.3,1.3,1.3,8.0,8.0,8.0,8.0
437,5.4,5.4,1.0,1.0,1.0,1.0,5.4,5.4,5.4,5.4
438,4.3,4.3,0.8,0.8,0.8,0.8,4.3,4.3,4.3,4.3
439,7.1,7.1,1.2,1.2,1.2,1.2,7.1,7.1,7.1,7.1
449,,,4.3,4.3,4.3,4.3,,,,
450,,,5.0,5.0,5.0,5.0,,,,
451,,,5.1,5.1,5.1,5.1,,,,
452,,,5.3,5.3,5.3,5.3,,,,
462,,,3.7,3.7,3.7,3.7,,,,21.4
463,,,3.1,3.1,3.1,3.1,,,19.9,19.9
464,,,3.1,3.1,3.1,3.1,,,15.1,15.1
465,,12.0,3.3,3.3,3.3,3.3,,12.0,12.0,12.0
466,,10.2,2.2,2.2,2.2,2.2,,10.2,10.2,10.2
467,8.7,8.7,1.8,1.8,1.8,1.8,8.7,8.7,8.7,8.7
468,7.6,7.6,1.6,1.6,1.6,1.6,7.6,7.6,7.6,7.6
469,8.9,8.9,1.5,1.5,1.5,1.5,8.9,8.9,8.9,8.9
470,,11.2,1.9,1.9,1.9,1.9,,11.2,11.2,11.2
471,9.8,9.8,2.0,2.0,2.0,2.0,9.8,9.8,9.8,9.8
472,9.7,9.7,2.2,2.2,2.2,2.2,9.7,9.7,9.7,9.7
473,9.1,9.1,2.3,2.3,2.3,2.3,9.1,9.1,9.1,9.1
474,,11.7,2.5,2.5,2.5,2.5,,11.7,11.7,11.7
475,,12.5,2.1,2.1,2.1,2.1,,12.5,12.5,12.5
480,,,3.1,3.1,3.1,3.1,,,,24.5
488,,,5.2,5.2,5.2,5.2,,,,
489,,,5.6,5.6,5.6,5.6,,,,
500,,,3.1,3.1,3.1,3.1,,,,20.9
501,,,3.3,3.3,3.3,3.3,,,19.4,19.4
