index,walk_10min,walk_15min,car_10min,car_15min,car_20min,car_30min,transit_10min,transit_15min,transit_20min,transit_30min
898,,13.3,2.0,2.0,2.0,2.0,,13.3,13.3,13.3
899,,10.6,1.7,1.7,1.7,1.7,,10.6,10.6,10.6
900,8.2,8.2,1.4,1.4,1.4,1.4,8.2,8.2,8.2,8.2
901,6.1,6.1,0.7,0.7,0.7,0.7,6.1,6.1,6.1,6.1
902,4.8,4.8,0.7,0.7,0.7,0.7,4.8,4.8,4.8,4.8
903,3.9,3.9,0.8,0.8,0.8,0.8,3.9,3.9,3.9,3.9
904,6.1,6.1,2.5,2.5,2.5,2.5,6.1,6.1,6.1,6.1
906,,12.3,2.2,2.2,2.2,2.2,,12.3,12.3,12.3
914,,,3.7,3.7,3.7,3.7,,,,24.8
915,,,3.5,3.5,3.5,3.5,,,,21.7
916,,,3.1,3.1,3.1,3.1,,,17.1,17.1
917,,14.0,3.1,3.1,3.1,3.1,,14.0,14.0,14.0
918,,12.8,3.2,3.2,3.2,3.2,,12.8,12.8,12.8
919,8.3,8.3,2.7,2.7,2.7,2.7,8.3,8.3,8.3,8.3
920,5.2,5.2,2.4,2.4,2.4,2.4,5.2,5.2,5.2,5.2
921,1.4,1.4,0.3,0.3,0.3,0.3,1.4,1.4,1.4,1.4
922,5.6,5.6,0.3,0.3,0.3,0.3,5.6,5.6,5.6,5.6
923,8.8,8.8,2.6,2.6,2.6,2.6,8.8,8.8,8.8,8.8
924,9.2,9.2,2.5,2.5,2.5,2.5,9.2,9.2,9.2,9.2
925,8.8,8.8,1.7,1.7,1.7,1.7,8.8,8.8,8.8,8.8
926,6.2,6.2,2.3,2.3,2.3,2.3,6.2,6.2,6.2,6.2
927,4.9,4.9,1.6,1.6,1.6,1.6,4.9,4.9,4.9,4.9
928,7.5,7.5,2.0,2.0,2.0,2.0,7.5,7.5,7.5,7.5
929,9.7,9.7,2.1,2.1,2.1,2.1,9.7,9.7,9.7,9.7
930,8.7,8.7,2.1,2.1,2.1,2.1,8.7,8.7,8.7,8.7
931,7.0,7.0,1.7,1.7,1.7,1.7,7.0,7.0,7.0,7.0
932,7.0,7.0,1.5,1.5,1.5,1.5,7.0,7.0,7.0,7.0
933,8.0,8.0,1.8,1.8,1.8,1.8,8.0,8.0,8.0,8.0
934,9.9,9.9,2.9,2.9,2.9,2.9,9.9,9.9,9.9,9.9
937,,,2.7,2.7,2.7,2.7,,,15.6,15.6
938,9.5,9.5,1.8,1.8,1.8,1.8,9.5,9.5,9.5,9.5
939,5.1,5.1,1.0,1.0,1.0,1.0,5.1,5.1,5.1,5.1
940,1.3,1.3,0.7,0.7,0.7,0.7,1.3,1.3,1.3,1.3
941,1.9,1.9,0.5,0.5,0.5,0.5,1.9,1.9,1.9,1.9
942,8.4,8.4,2.0,2.0,2.0,2.0,8.4,8.4,8.4,8.4
944,,12.3,2.5,2.5,2.5,2.5,,12.3,12.3,12.3
951,,,3.8,3.8,3.8,3.8,,,,29.1
952,,,3.7,3.7,3.7,3.7,,,,25.8
953,,,3.6,3.6,3.6,3.6,,,,24.5
954,,,3.1,3.1,3.1,3.1,,,18.2,18.2
955,,,3.4,3.4,3.4,3.4,,,16.5,16.5
956,,12.1,3.3,3.3,3.3,3.3,,12.1,12.1,12.1
957,,10.2,3.2,3.2,3.2,3.2,,10.2,10.2,10.2
958,6.4,6.4,2.3,2.3,2.3,2.3,6.4,6.4,6.4,6.4
959,6.2,6.2,1.5,1.5,1.5,1.5,6.2,6.2,6.2,6.2
960,5.2,5.2,2.6,2.6,2.6,2.6,5.2,5.2,5.2,5.2
961,8.9,8.9,2.6,2.6,2.6,2.6,8.9,8.9,8.9,8.9
962,6.6,6.6,2.7,2.7,2.7,2.7,6.6,6.6,6.6,6.6
963,3.8,3.8,2.1,2.1,2.1,2.1,3.8,3.8,3.8,3.8
964,1.0,1.0,2.4,2.4,2.4,2.4,1.0,1.0,1.0,1.0
965,3.5,3.5,0.7,0.7,0.7,0.7,3.5,3.5,3.5,3.5
966,5.7,5.7,1.2,1.2,1.2,1.2,5.7,5.7,5.7,5.7
967,8.7,8.7,2.2,2.2,2.2,2.2,8.7,8.7,8.7,8.7
968,,11.0,2.0,2.0,2.0,2.0,,11.0,11.0,11.0
969,9.7,9.7,1.4,1.4,1.4,1.4,9.7,9.7,9.7,9.7
970,9.7,9.7,1.8,1.8,1.8,1.8,9.7,9.7,9.7,9.7
971,9.8,9.8,1.4,1.4,1.4,1.4,9.8,9.8,9.8,9.8
972,,11.7,2.0,2.0,2.0,2.0,,11.7,11.7,11.7
977,,11.4,2.0,2.0,2.0,2.0,,11.4,11.4,11.4
978,4.3,4.3,0.6,0.6,0.6,0.6,4.3,4.3,4.3,4.3
979,5.2,5.2,0.8,0.8,0.8,0.8,5.2,5.2,5.2,5.2
990,,,4.0,4.0,4.0,4.0,,,,25.1
991,,,3.2,3.2,3.2,3.2,,,19.2,19.2
992,,,3.9,3.9,3.9,3.9,,,17.5,17.5
993,,,2.9,2.9,2.9,2.9,,,15.4,15.4
994,,12.7,3.6,3.6,3.6,3.6,,12.7,12.7,12.7
995,,12.5,3.1,3.1,3.1,3.1,,12.5,12.5,12.5
996,9.1,9.1,2.3,2.3,2.3,2.3,9.1,9.1,9.1,9.1
997,9.9,9.9,2.0,2.0,2.0,2.0,9.9,9.9,9.9,9.9
998,7.6,7.6,1.4,1.4,1.4,1.4,7.6,7.6,7.6,7.6
999,8.2,8.2,3.0,3.0,3.0,3.0,8.2,8.2,8.2,8.2
1000,6.6,6.6,0.9,0.9,0.9,0.9,6.6,6.6,6.6,6.6
1001,9.0,9.0,1.9,1.9,1.9,1.9,9.0,9.0,9.0,9.0
1002,2.8,2.8,1.0,1.0,1.0,1.0,2.8,2.8,2.8,2.8
1003,4.0,4.0,1.5,1.5,1.5,1.5,4.0,4.0,4.0,4.0
1004,7.3,7.3,1.2,1.2,1.2,1.2,7.3,7.3,7.3,7.3
1005,,10.1,1.8,1.8,1.8,1.8,,10.1,10.1,10.1
1006,,11.2,1.7,1.7,1.7,1.7,,11.2,11.2,11.2
1007,8.9,8.9,1.0,1.0,1.0,1.0,8.9,8.9,8.9,8.9
1008,5.9,5.9,0.7,0.7,0.7,0.7,5.9,5.9,5.9,5.9
1009,6.9,6.9,1.8,1.8,1.8,1.8,6.9,6.9,6.9,6.9
1010,8.5,8.5,2.0,2.0,2.0,2.0,8.5,8.5,8.5,8.5
1011,,11.9,2.9,2.9,2.9,2.9,,11.9,11.9,11.9
1015,9.6,9.6,1.4,1.4,1.4,1.4,9.6,9.6,9.6,9.6
1016,7.6,7.6,1.2,1.2,1.2,1.2,7.6,7.6,7.6,7.6
1029,,,3.8,3.8,3.8,3.8,,,17.8,17.8
1030,,14.6,2.8,2.8,2.8,2.8,,14.6,14.6,14.6
1031,,13.0,2.6,2.6,2.6,2.6,,13.0,13.0,13.0
1033,9.9,9.9,2.9,2.9,2.9,2.9,9.9,9.9,9.9,9.9
1034,,12.5,2.6,2.6,2.6,2.6,,12.5,12.5,12.5
1035,,10.8,2.4,2.4,2.4,2.4,,10.8,10.8,10.8
1036,,11.1,2.2,2.2,2.2,2.2,,11.1,11.1,11.1
1037,,11.4,1.9,1.9,1.9,1.9,,11.4,11.4,11.4
1038,,10.6,2.6,2.6,2.6,2.6,,10.6,10.6,10.6
1039,7.7,7.7,1.7,1.7,1.7,1.7,7.7,7.7,7.7,7.7
1040,6.4,6.4,1.6,1.6,1.6,1.6,6.4,6.4,6.4,6.4
1041,6.8,6.8,1.3,1.3,1.3,1.3,6.8,6.8,6.8,6.8
1042,8.8,8.8,1.6,1.6,1.6,1.6,8.8,8.8,8.8,8.8
1043,,10.6,2.0,2.0,2.0,2.0,,10.6,10.6,10.6
1044,8.8,8.8,1.7,1.7,1.7,1.7,8.8,8.8,8.8,8.8
1045,6.1,6.1,0.8,0.8,0.8,0.8,6.1,6.1,6.1,6.1
1046,3.7,3.7,0.8,0.8,0.8,0.8,3.7,3.7,3.7,3.7
1047,4.0,4.0,1.1,1.1,1.1,1.1,4.0,4.0,4.0,4.0
1048,6.6,6.6,1.5,1.5,1.5,1.5,6.6,6.6,6.6,6.6
1049,8.8,8.8,1.9,1.9,1.9,1.9,8.8,8.8,8.8,8.8
1051,,11.4,2.7,2.7,2.7,2.7,,11.4,11.4,11.4
1055,,,5.1,5.1,5.1,5.1,,,,
1066,,,3.3,3.3,3.3,3.3,,,19.6,19.6
1067,,,2.8,2.8,2.8,2.8,,,16.6,16.6
1068,,13.2,2.3,2.3,2.3,2.3,,13.2,13.2,13.2
1069,,10.8,2.0,2.0,2.0,2.0,,10.8,10.8,10.8
1070,7.3,7.3,1.4,1.4,1.4,1.4,7.3,7.3,7.3,7.3
1071,6.3,6.3,1.4,1.4,1.4,1.4,6.3,6.3,6.3,6.3
1072,7.8,7.8,2.4,2.4,2.4,2.4,7.8,7.8,7.8,7.8
1073,8.7,8.7,2.4,2.4,2.4,2.4,8.7,8.7,8.7,8.7
1074,10.0,10.0,2.5,2.5,2.5,2.5,10.0,10.0,10.0,10.0
1075,,,2.5,2.5,2.5,2.5,,,16.6,16.6
1076,,14.7,2.2,2.2,2.2,2.2,,14.7,14.7,14.7
1077,,11.2,2.7,2.7,2.7,2.7,,11.2,11.2,11.2
1078,8.5,8.5,2.3,2.3,2.3,2.3,8.5,8.5,8.5,8.5
1079,,10.1,2.4,2.4,2.4,2.4,,10.1,10.1,10.1
1080,,11.2,2.5,2.5,2.5,2.5,,11.2,11.2,11.2
1081,10.0,10.0,2.9,2.9,2.9,2.9,10.0,10.0,10.0,10.0
1082,7.1,7.1,2.0,2.0,2.0,2.0,7.1,7.1,7.1,7.1
1083,4.2,4.2,2.2,2.2,2.2,2.2,4.2,4.2,4.2,4.2
1084,1.9,1.9,0.4,0.4,0.4,0.4,1.9,1.9,1.9,1.9
1085,2.3,2.3,0.4,0.4,0.4,0.4,2.3,2.3,2.3,2.3
1086,6.0,6.0,1.4,1.4,1.4,1.4,6.0,6.0,6.0,6.0
1087,6.0,6.0,2.0,2.0,2.0,2.0,6.0,6.0,6.0,6.0
1088,9.9,9.9,2.3,2.3,2.3,2.3,9.9,9.9,9.9,9.9
1089,8.4,8.4,2.5,2.5,2.5,2.5,8.4,8.4,8.4,8.4
1092,,13.9,2.6,2.6,2.6,2.6,,13.9,13.9,13.9
1093,,14.7,2.6,2.6,2.6,2.6,,14.7,14.7,14.7
1094,,,2.5,2.5,2.5,2.5,,,15.8,15.8
1102,,,3.9,3.9,3.9,3.9,,,,24.2
1103,,,3.6,3.6,3.6,3.6,,,,21.9
1104,,,3.1,3.1,3.1,3.1,,,19.2,19.2
1105,,,2.9,2.9,2.9,2.9,,,16.5,16.5
1106,,13.7,2.5,2.5,2.5,2.5,,13.7,13.7,13.7
1107,,10.2,1.8,1.8,1.8,1.8,,10.2,10.2,10.2
1108,7.6,7.6,1.4,1.4,1.4,1.4,7.6,7.6,7.6,7.6
1109,3.3,3.3,1.1,1.1,1.1,1.1,3.3,3.3,3.3,3.3
1110,1.8,1.8,0.5,0.5,0.5,0.5,1.8,1.8,1.8,1.8
1111,5.6,5.6,2.4,2.4,2.4,2.4,5.6,5.6,5.6,5.6
1112,10.0,10.0,3.0,3.0,3.0,3.0,10.0,10.0,10.0,10.0
1113,,14.9,3.1,3.1,3.1,3.1,,14.9,14.9,14.9
1114,,,2.8,2.8,2.8,2.8,,,15.9,15.9
1115,,13.8,2.7,2.7,2.7,2.7,,13.8,13.8,13.8
1116,,11.9,2.3,2.3,2.3,2.3,,11.9,11.9,11.9
1117,,13.5,2.4,2.4,2.4,2.4,,13.5,13.5,13.5
1118,,14.3,2.9,2.9,2.9,2.9,,14.3,14.3,14.3
1119,,11.6,2.8,2.8,2.8,2.8,,11.6,11.6,11.6
1121,6.2,6.2,2.1,2.1,2.1,2.1,6.2,6.2,6.2,6.2
1122,3.3,3.3,0.4,0.4,0.4,0.4,3.3,3.3,3.3,3.3
1123,4.5,4.5,0.8,0.8,0.8,0.8,4.5,4.5,4.5,4.5
1124,6.1,6.1,1.2,1.2,1.2,1.2,6.1,6.1,6.1,6.1
1125,3.8,3.8,1.3,1.3,1.3,1.3,3.8,3.8,3.8,3.8
1126,3.0,3.0,0.5,0.5,0.5,0.5,3.0,3.0,3.0,3.0
1127,4.6,4.6,1.2,1.2,1.2,1.2,4.6,4.6,4.6,4.6
1130,,10.3,1.4,1.4,1.4,1.4,,10.3,10.3,10.3
1131,,11.3,1.6,1.6,1.6,1.6,,11.3,11.3,11.3
1132,,,2.9,2.9,2.9,2.9,,,16.7,16.7
1133,,,2.7,2.7,2.7,2.7,,,17.5,17.5
1140,,,4.6,4.6,4.6,4.6,,,,25.9
1141,,,3.8,3.8,3.8,3.8,,,,22.9
1142,,,3.7,3.7,3.7,3.7,,,19.7,19.7
1143,,,2.6,2.6,2.6,2.6,,,16.1,16.1
1144,,12.9,2.4,2.4,2.4,2.4,,12.9,12.9,12.9
1145,,11.3,1.9,1.9,1.9,1.9,,11.3,11.3,11.3
1146,6.6,6.6,2.2,2.2,2.2,2.2,6.6,6.6,6.6,6.6
1147,5.5,5.5,1.7,1.7,1.7,1.7,5.5,5.5,5.5,5.5
1148,3.6,3.6,0.7,0.7,0.7,0.7,3.6,3.6,3.6,3.6
1149,8.3,8.3,1.8,1.8,1.8,1.8,8.3,8.3,8.3,8.3
1150,8.0,8.0,3.1,3.1,3.1,3.1,8.0,8.0,8.0,8.0
1151,,14.0,3.2,3.2,3.2,3.2,,14.0,14.0,14.0
1152,,15.0,3.1,3.1,3.1,3.1,,15.0,15.0,15.0
1153,,,2.9,2.9,2.9,2.9,,,15.1,15.1
1154,,,3.1,3.1,3.1,3.1,,,15.3,15.3
1155,,,2.9,2.9,2.9,2.9,,,16.2,16.2
1156,,,2.9,2.9,2.9,2.9,,,15.2,15.2
1157,,11.9,2.0,2.0,2.0,2.0,,11.9,11.9,11.9
1158,,10.7,2.6,2.6,2.6,2.6,,10.7,10.7,10.7
1159,,10.2,2.4,2.4,2.4,2.4,,10.2,10.2,10.2
1160,8.3,8.3,1.4,1.4,1.4,1.4,8.3,8.3,8.3,8.3
1161,7.9,7.9,1.5,1.5,1.5,1.5,7.9,7.9,7.9,7.9
1162,9.1,9.1,1.9,1.9,1.9,1.9,9.1,9.1,9.1,9.1
1163,6.3,6.3,1.5,1.5,1.5,1.5,6.3,6.3,6.3,6.3
1164,1.5,1.5,0.4,0.4,0.4,0.4,1.5,1.5,1.5,1.5
1165,5.0,5.0,0.8,0.8,0.8,0.8,5.0,5.0,5.0,5.0
1166,4.3,4.3,1.2,1.2,1.2,1.2,4.3,4.3,4.3,4.3
1167,6.2,6.2,1.0,1.0,1.0,1.0,6.2,6.2,6.2,6.2
1168,6.9,6.9,1.9,1.9,1.9,1.9,6.9,6.9,6.9,6.9
1169,,11.3,1.6,1.6,1.6,1.6,,11.3,11.3,11.3
1170,,14.1,1.9,1.9,1.9,1.9,,14.1,14.1,14.1
1171,,,3.0,3.0,3.0,3.0,,,15.3,15.3
1172,,14.5,2.5,2.5,2.5,2.5,,14.5,14.5,14.5
1178,,,5.0,5.0,5.0,5.0,,,,26.7
1179,,,4.4,4.4,4.4,4.4,,,,22.6
1180,,,3.6,3.6,3.6,3.6,,,19.1,19.1
1181,,,2.7,2.7,2.7,2.7,,,15.9,15.9
1182,,13.1,2.4,2.4,2.4,2.4,,13.1,13.1,13.1
1183,,11.5,2.1,2.1,2.1,2.1,,11.5,11.5,11.5
1184,9.9,9.9,2.2,2.2,2.2,2.2,9.9,9.9,9.9,9.9
1185,8.3,8.3,1.5,1.5,1.5,1.5,8.3,8.3,8.3,8.3
1186,7.0,7.0,1.3,1.3,1.3,1.3,7.0,7.0,7.0,7.0
1187,7.9,7.9,1.4,1.4,1.4,1.4,7.9,7.9,7.9,7.9
1188,,10.8,1.9,1.9,1.9,1.9,,10.8,10.8,10.8
1189,,12.3,2.3,2.3,2.3,2.3,,12.3,12.3,12.3
1190,,14.0,3.9,3.9,3.9,3.9,,14.0,14.0,14.0
1191,,,3.8,3.8,3.8,3.8,,,17.4,17.4
1192,,,3.2,3.2,3.2,3.2,,,18.5,18.5
1193,,,3.9,3.9,3.9,3.9,,,,20.2
1194,,,3.8,3.8,3.8,3.8,,,16.2,16.2
1195,,,4.0,4.0,4.0,4.0,,,15.3,15.3
1196,,,3.6,3.6,3.6,3.6,,,16.4,16.4
1197,,13.6,2.5,2.5,2.5,2.5,,13.6,13.6,13.6
1198,,13.0,2.7,2.7,2.7,2.7,,13.0,13.0,13.0
1199,,10.2,1.5,1.5,1.5,1.5,,10.2,10.2,10.2
1200,9.3,9.3,1.7,1.7,1.7,1.7,9.3,9.3,9.3,9.3
1201,6.5,6.5,1.6,1.6,1.6,1.6,6.5,6.5,6.5,6.5
1202,5.3,5.3,1.2,1.2,1.2,1.2,5.3,5.3,5.3,5.3
1204,2.4,2.4,0.8,0.8,0.8,0.8,2.4,2.4,2.4,2.4
1205,2.1,2.1,0.2,0.2,0.2,0.2,2.1,2.1,2.1,2.1
1206,5.1,5.1,1.6,1.6,1.6,1.6,5.1,5.1,5.1,5.1
1207,,13.5,2.0,2.0,2.0,2.0,,13.5,13.5,13.5
1208,,11.8,2.3,2.3,2.3,2.3,,11.8,11.8,11.8
1209,,13.3,2.8,2.8,2.8,2.8,,13.3,13.3,13.3
1210,,12.4,2.2,2.2,2.2,2.2,,12.4,12.4,12.4
1216,,,5.0,5.0,5.0,5.0,,,,25.7
1217,,,3.5,3.5,3.5,3.5,,,,21.6
1218,,,3.5,3.5,3.5,3.5,,,,20.8
1219,,,3.9,3.9,3.9,3.9,,,17.2,17.2
1220,,,3.6,3.6,3.6,3.6,,,17.8,17.8
1221,,13.8,4.0,4.0,4.0,4.0,,13.8,13.8,13.8
1222,,13.6,2.4,2.4,2.4,2.4,,13.6,13.6,13.6
1223,,10.5,1.6,1.6,1.6,1.6,,10.5,10.5,10.5
1224,,11.4,2.3,2.3,2.3,2.3,,11.4,11.4,11.4
1225,,11.5,2.2,2.2,2.2,2.2,,11.5,11.5,11.5
1226,,12.6,2.2,2.2,2.2,2.2,,12.6,12.6,12.6
1227,,,3.8,3.8,3.8,3.8,,,15.2,15.2
1229,,,2.7,2.7,2.7,2.7,,,17.5,17.5
1230,,,2.7,2.7,2.7,2.7,,,19.4,19.4
1231,,,3.4,3.4,3.4,3.4,,,19.6,19.6
1232,,,3.7,3.7,3.7,3.7,,,18.6,18.6
1233,,,3.5,3.5,3.5,3.5,,,18.8,18.8
1234,,,3.1,3.1,3.1,3.1,,,17.2,17.2
1235,,,3.0,3.0,3.0,3.0,,,16.3,16.3
1236,,14.5,2.2,2.2,2.2,2.2,,14.5,14.5,14.5
1237,,13.5,2.3,2.3,2.3,2.3,,13.5,13.5,13.5
1238,,11.3,2.5,2.5,2.5,2.5,,11.3,11.3,11.3
1239,8.8,8.8,1.6,1.6,1.6,1.6,8.8,8.8,8.8,8.8
1240,9.5,9.5,3.9,3.9,3.9,3.9,9.5,9.5,9.5,9.5
1241,5.6,5.6,1.0,1.0,1.0,1.0,5.6,5.6,5.6,5.6
1242,1.9,1.9,0.4,0.4,0.4,0.4,1.9,1.9,1.9,1.9
1243,2.3,2.3,0.8,0.8,0.8,0.8,2.3,2.3,2.3,2.3
1244,5.4,5.4,1.6,1.6,1.6,1.6,5.4,5.4,5.4,5.4
1245,9.8,9.8,2.3,2.3,2.3,2.3,9.8,9.8,9.8,9.8
1246,,11.0,2.2,2.2,2.2,2.2,,11.0,11.0,11.0
1247,9.1,9.1,2.5,2.5,2.5,2.5,9.1,9.1,9.1,9.1
1252,,,3.3,3.3,3.3,3.3,,,17.4,17.4
1254,,,4.3,4.3,4.3,4.3,,,,26.8
1255,,,5.6,5.6,5.6,5.6,,,,23.9
1256,,,3.7,3.7,3.7,3.7,,,,21.4
1257,,,3.5,3.5,3.5,3.5,,,,20.8
1258,,,3.4,3.4,3.4,3.4,,,19.4,19.4
1259,,,3.5,3.5,3.5,3.5,,,17.3,17.3
1260,,14.2,1.9,1.9,1.9,1.9,,14.2,14.2,14.2
1261,,14.0,2.0,2.0,2.0,2.0,,14.0,14.0,14.0
1262,,,2.9,2.9,2.9,2.9,,,17.8,17.8
1263,,,4.1,4.1,4.1,4.1,,,,20.3
1275,,,3.3,3.3,3.3,3.3,,,16.3,16.3
1276,,13.1,2.6,2.6,2.6,2.6,,13.1,13.1,13.1
1277,,11.1,2.0,2.0,2.0,2.0,,11.1,11.1,11.1
1278,10.0,10.0,2.2,2.2,2.2,2.2,10.0,10.0,10.0,10.0
1279,6.5,6.5,1.7,1.7,1.7,1.7,6.5,6.5,6.5,6.5
1280,5.9,5.9,1.1,1.1,1.1,1.1,5.9,5.9,5.9,5.9
1281,5.7,5.7,0.9,0.9,0.9,0.9,5.7,5.7,5.7,5.7
1282,6.7,6.7,1.7,1.7,1.7,1.7,6.7,6.7,6.7,6.7
1283,9.4,9.4,1.8,1.8,1.8,1.8,9.4,9.4,9.4,9.4
1284,,11.6,2.4,2.4,2.4,2.4,,11.6,11.6,11.6
1285,7.9,7.9,2.0,2.0,2.0,2.0,7.9,7.9,7.9,7.9
1286,8.1,8.1,1.8,1.8,1.8,1.8,8.1,8.1,8.1,8.1
1287,,10.8,2.1,2.1,2.1,2.1,,10.8,10.8,10.8
1288,,12.4,2.3,2.3,2.3,2.3,,12.4,12.4,12.4
1289,,13.0,2.5,2.5,2.5,2.5,,13.0,13.0,13.0
1290,,,3.9,3.9,3.9,3.9,,,15.6,15.6
1291,,,6.7,6.7,6.7,6.7,,,,22.4
1293,,,4.2,4.2,4.2,4.2,,,,25.5
1294,,,4.5,4.5,4.5,4.5,,,,24.7
1295,,,3.8,3.8,3.8,3.8,,,,22.6
1296,,,3.6,3.6,3.6,3.6,,,,21.3
1297,,,2.2,2.2,2.2,2.2,,,17.8,17.8
1316,,11.1,3.3,3.3,3.3,3.3,,11.1,11.1,11.1
1317,9.1,9.1,1.7,1.7,1.7,1.7,9.1,9.1,9.1,9.1
1318,8.7,8.7,1.4,1.4,1.4,1.4,8.7,8.7,8.7,8.7
1319,8.3,8.3,1.4,1.4,1.4,1.4,8.3,8.3,8.3,8.3
1320,8.8,8.8,1.9,1.9,1.9,1.9,8.8,8.8,8.8,8.8
1321,5.8,5.8,1.8,1.8,1.8,1.8,5.8,5.8,5.8,5.8
1322,2.6,2.6,0.7,0.7,0.7,0.7,2.6,2.6,2.6,2.6
1323,1.6,1.6,0.7,0.7,0.7,0.7,1.6,1.6,1.6,1.6
1324,4.9,4.9,1.4,1.4,1.4,1.4,4.9,4.9,4.9,4.9
1325,7.5,7.5,1.6,1.6,1.6,1.6,7.5,7.5,7.5,7.5
1326,,10.1,1.9,1.9,1.9,1.9,,10.1,10.1,10.1
1327,,13.2,2.3,2.3,2.3,2.3,,13.2,13.2,13.2
1328,,,3.4,3.4,3.4,3.4,,,19.3,19.3
1331,,,3.7,3.7,3.7,3.7,,,,28.4
1332,,,4.2,4.2,4.2,4.2,,,,26.3
1333,,,2.9,2.9,2.9,2.9,,,,23.5
1334,,,4.1,4.1,4.1,4.1,,,,21.6
1353,9.8,9.8,1.8,1.8,1.8,1.8,9.8,9.8,9.8,9.8
1354,9.7,9.7,1.4,1.4,1.4,1.4,9.7,9.7,9.7,9.7
1355,,11.9,4.3,4.3,4.3,4.3,,11.9,11.9,11.9
1356,,11.5,2.5,2.5,2.5,2.5,,11.5,11.5,11.5
1357,,,1.8,1.8,1.8,1.8,,,15.3,15.3
1358,9.7,9.7,1.6,1.6,1.6,1.6,9.7,9.7,9.7,9.7
1359,7.1,7.1,1.3,1.3,1.3,1.3,7.1,7.1,7.1,7.1
1362,5.3,5.3,0.9,0.9,0.9,0.9,5.3,5.3,5.3,5.3
1363,9.9,9.9,2.7,2.7,2.7,2.7,9.9,9.9,9.9,9.9
1364,,12.2,2.2,2.2,2.2,2.2,,12.2,12.2,12.2
1365,,,2.5,2.5,2.5,2.5,,,15.6,15.6
1366,,,2.4,2.4,2.4,2.4,,,16.9,16.9
1391,7.1,7.1,1.6,1.6,1.6,1.6,7.1,7.1,7.1,7.1
1392,6.7,6.7,1.4,1.4,1.4,1.4,6.7,6.7,6.7,6.7
1393,8.9,8.9,1.8,1.8,1.8,1.8,8.9,8.9,8.9,8.9
1402,,11.6,1.6,1.6,1.6,1.6,,11.6,11.6,11.6
1403,,14.5,2.4,2.4,2.4,2.4,,14.5,14.5,14.5
1429,4.3,4.3,1.2,1.2,1.2,1.2,4.3,4.3,4.3,4.3
1430,4.0,4.0,1.4,1.4,1.4,1.4,4.0,4.0,4.0,4.0
1431,7.4,7.4,1.1,1.1,1.1,1.1,7.4,7.4,7.4,7.4
1432,9.4,9.4,1.6,1.6,1.6,1.6,9.4,9.4,9.4,9.4
1433,,11.7,1.4,1.4,1.4,1.4,,11.7,11.7,11.7
1467,1.7,1.7,0.8,0.8,0.8,0.8,1.7,1.7,1.7,1.7
1468,5.2,5.2,0.9,0.9,0.9,0.9,5.2,5.2,5.2,5.2
1469,5.2,5.2,0.9,0.9,0.9,0.9,5.2,5.2,5.2,5.2
1470,8.7,8.7,1.1,1.1,1.1,1.1,8.7,8.7,8.7,8.7
1471,,12.4,1.7,1.7,1.7,1.7,,12.4,12.4,12.4
1505,3.6,3.6,0.6,0.6,0.6,0.6,3.6,3.6,3.6,3.6
1506,4.1,4.1,0.8,0.8,0.8,0.8,4.1,4.1,4.1,4.1
1507,6.0,6.0,0.8,0.8,0.8,0.8,6.0,6.0,6.0,6.0
1508,,10.7,1.5,1.5,1.5,1.5,,10.7,10.7,10.7
1509,,12.7,1.6,1.6,1.6,1.6,,12.7,12.7,12.7
1510,,14.8,2.5,2.5,2.5,2.5,,14.8,14.8,14.8
1511,,,3.1,3.1,3.1,3.1,,,,22.7
1543,6.2,6.2,0.8,0.8,0.8,0.8,6.2,6.2,6.2,6.2
1544,6.7,6.7,0.9,0.9,0.9,0.9,6.7,6.7,6.7,6.7
1545,7.6,7.6,1.2,1.2,1.2,1.2,7.6,7.6,7.6,7.6
1546,,12.7,1.9,1.9,1.9,1.9,,12.7,12.7,12.7
1547,,14.5,2.2,2.2,2.2,2.2,,14.5,14.5,14.5
1548,,,2.6,2.6,2.6,2.6,,,18.5,18.5
1549,,,2.8,2.8,2.8,2.8,,,,20.9
1581,8.2,8.2,0.9,0.9,0.9,0.9,8.2,8.2,8.2,8.2
1582,,10.2,1.5,1.5,1.5,1.5,,10.2,10.2,10.2
1583,,11.0,1.8,1.8,1.8,1.8,,11.0,11.0,11.0
1584,,11.8,1.8,1.8,1.8,1.8,,11.8,11.8,11.8
1585,,,2.5,2.5,2.5,2.5,,,15.7,15.7
1586,,,2.6,2.6,2.6,2.6,,,18.8,18.8
1623,,,2.0,2.0,2.0,2.0,,,18.7,18.7
